Soil pH,Soil Texture,Wind Speed (m/s),Humidity (%),Is Crop,Start,End,Is Previous Crop,Yield of Previous Crop (kg/ha),Crop Growth Stage,Rainfall Confidence (%),Is Planting Month,Crop to Plant,Water Management,Pest Control Recommendation,Optimal Planting Time
5.4,Clay,7.77,75.24,"Tropical Fruits (Papaya, Guava, etc.)",1,12,Sweet Potatoes,3214.27,Vegetative,42,1,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Delay planting for at least a month.
6.3,Loamy,9.98,44.46,Groundnuts (Peanuts),1,12,Spinach,545.64,Vegetative,50,4,Beans,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Consider planting a different crop.
6.6,Clay,8.26,88.72,Potatoes,2,4,Onions,3114.25,Vegetative,59,5,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Not optimal for planting; consider waiting for the right season.
5.7,Loamy,5.38,63.35,Zucchini,9,11,Pineapples,3493.32,Mature,26,11,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
6.1,Loamy,7.78,89.83,Sweet Potatoes,9,11,Pumpkins,3893.17,Mature,40,11,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
5.3,Clay,8.06,88.41,Sorghum,3,5,Avocados,2613.75,Vegetative,89,2,Rice,Natural moisture retention is sufficient; monitor conditions.,High risk of pests; consider organic options and monitor closely.,Plant immediately if conditions allow.
6.8,Clay,3.49,65.26,Tomatoes,7,9,Potatoes,4324.28,Mature,53,1,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
5.9,Clay,6.05,51.58,Bitter Kola,1,12,Pineapples,3714.2,Vegetative,63,3,Potatoes,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for a week.
5.1,Clay,9.86,85.24,Chili Peppers,8,10,Rice,1035.28,Mature,16,10,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
6.9,Clay,7.52,52.45,Groundnuts (Peanuts),1,12,Chili Peppers,1030.93,Vegetative,43,2,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for at least a month.
6.4,Clay,5.43,37.92,Pumpkins,7,9,Avocados,432.03,Mature,15,3,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Not optimal for planting; consider waiting for the right season.
5.3,Clay,4.4,81.28,Bitter Kola,1,12,Eggplant (Brinjal),112.5,Vegetative,48,9,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Delay planting for at least a month.
7.0,Clay,0.58,36.94,Avocados,5,9,Cassava,1383.75,Vegetative,18,7,Rice,Frequent irrigation required for seedling establishment.,Optimal time to spray; consider preventive measures.,Consider planting a different crop.
5.1,Loamy,8.33,73.67,Avocados,5,9,Pigeon Peas,3355.77,Vegetative,85,7,Sorghum,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Plant immediately.
6.3,Clay,5.83,37.65,Carrots,6,8,Chili Peppers,4923.36,Vegetative,25,2,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Not optimal for planting; consider waiting for the right season.
5.0,Loamy,7.12,60.24,Zucchini,9,11,Rice,2691.64,Mature,49,12,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Not optimal for planting; consider waiting for the right season.
6.3,Loamy,8.1,60.57,Avocados,5,9,Zucchini,860.92,Vegetative,10,4,Beans,Implement drip irrigation and monitor water levels.,Windy conditions; monitor for pests but spraying may be less effective.,Not optimal for planting; consider waiting for the right season.
5.3,Clay,3.74,73.95,Watermelon,9,11,Cabbages,3349.53,Mature,43,2,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Not optimal for planting; consider waiting for the right season.
5.4,Loamy,0.31,53.83,Rice,4,6,"Tropical Fruits (Papaya, Guava, etc.)",2395.78,Mature,60,4,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for two weeks.
6.4,Loamy,5.5,81.85,Spinach,5,7,Beans,3847.55,Vegetative,66,12,Sorghum,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Plant immediately if conditions allow.
6.5,Clay,1.86,72.93,Mangoes,10,12,Pumpkins,55.12,Vegetative,83,3,Rice,Natural moisture retention is sufficient; monitor conditions.,High risk of pests; consider organic options and monitor closely.,Not optimal for planting; consider waiting for the right season.
6.0,Clay,9.12,33.27,Watermelon,9,11,Spinach,1667.45,Vegetative,35,5,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Not optimal for planting; consider waiting for the right season.
6.4,Clay,4.55,98.68,Zucchini,9,11,Cassava,4311.81,Vegetative,53,2,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
6.6,Clay,6.41,31.84,Lettuce,5,7,Pumpkins,2619.85,Vegetative,75,12,Rice,Natural moisture retention is sufficient; monitor conditions.,Windy conditions; monitor for pests but spraying may be less effective.,Not optimal for planting; consider waiting for the right season.
6.5,Loamy,6.17,51.72,Groundnuts (Peanuts),1,12,Pineapples,4607.53,Vegetative,53,7,Beans,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for a week.
6.5,Loamy,6.08,48.36,Pumpkins,7,9,Maize,4193.69,Mature,39,10,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
6.0,Clay,8.75,96.88,Carrots,6,8,Rice,963.04,Mature,54,4,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
6.1,Clay,8.95,91.03,Pumpkins,7,9,Zucchini,3855.26,Vegetative,43,6,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
6.8,Clay,4.2,35.87,Bitter Kola,1,12,Onions,96.02,Mature,57,10,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for a week.
5.5,Loamy,5.97,37.17,Bitter Kola,1,12,Coffee,951.64,Mature,59,12,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for a week.
6.4,Clay,8.34,83.85,Sweet Potatoes,9,11,Avocados,4481.75,Mature,92,2,Rice,Natural moisture retention is sufficient; monitor conditions.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
5.4,Loamy,0.83,71.89,Potatoes,2,4,Groundnuts (Peanuts),1954.07,Vegetative,36,8,Sorghum,Implement drip irrigation and monitor water levels.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
5.3,Clay,0.12,36.95,Bananas,1,12,Tea,585.27,Vegetative,48,2,Rice,Frequent irrigation required for seedling establishment.,Optimal time to spray; consider preventive measures.,Consider planting a different crop.
6.9,Clay,3.36,41.74,Pigeon Peas,1,12,Sweet Potatoes,3542.91,Vegetative,50,6,Rice,Frequent irrigation required for seedling establishment.,Optimal time to spray; consider preventive measures.,Consider planting a different crop.
5.3,Loamy,1.74,97.63,Maize,3,5,Sorghum,3363.77,Mature,66,10,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
6.5,Clay,5.09,56.15,Tomatoes,7,9,Maize,1885.3,Vegetative,14,1,Potatoes,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Consider planting a different crop.
6.3,Loamy,7.63,44.52,Tea,1,12,Onions,1920.84,Vegetative,50,2,Beans,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for at least a month.
5.3,Clay,9.5,61.44,Groundnuts (Peanuts),1,12,Cucumbers,3440.98,Vegetative,55,3,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for two weeks.
6.5,Clay,4.81,91.79,Bananas,1,12,Okra (Lady's Finger),1050.4,Vegetative,27,11,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
5.0,Loamy,8.26,81.57,Spinach,5,7,Groundnuts (Peanuts),2582.45,Mature,34,11,Sorghum,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
5.7,Clay,8.19,71.03,Coffee,1,12,Bitter Kola,2001.91,Vegetative,96,3,Potatoes,Natural moisture retention is sufficient; monitor conditions.,High risk of pests; consider organic options and monitor closely.,Plant immediately.
6.9,Clay,2.21,92.17,Carrots,6,8,Rice,4423.41,Vegetative,73,9,Potatoes,Natural moisture retention is sufficient; monitor conditions.,High risk of pests; consider organic options and monitor closely.,Plant immediately if conditions allow.
6.8,Clay,7.58,75.72,Tomatoes,7,9,Groundnuts (Peanuts),1451.02,Mature,12,7,Maize,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
5.4,Loamy,3.89,73.68,Pumpkins,7,9,Cassava,3315.11,Mature,12,10,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Not optimal for planting; consider waiting for the right season.
6.7,Loamy,8.63,51.5,Zucchini,9,11,Onions,1297.2,Mature,52,9,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for two weeks.
5.3,Clay,9.72,52.5,Watermelon,9,11,"Tropical Fruits (Papaya, Guava, etc.)",4970.77,Vegetative,8,6,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Consider planting a different crop.
5.8,Loamy,7.3,79.97,Sorghum,3,5,Groundnuts (Peanuts),4027.01,Mature,43,12,Beans,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
6.2,Clay,3.98,76.01,Pineapples,1,12,Bananas,751.61,Mature,0,11,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
5.4,Loamy,1.92,55.46,Chili Peppers,8,10,Beans,501.32,Mature,1,7,Sorghum,Implement drip irrigation and monitor water levels.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
6.1,Loamy,7.73,41.84,Watermelon,9,11,Pigeon Peas,3744.07,Vegetative,23,4,Sorghum,Implement drip irrigation and monitor water levels.,Windy conditions; monitor for pests but spraying may be less effective.,Plant immediately if conditions allow.
5.3,Clay,4.75,45.47,Tomatoes,7,9,Beans,2031.0,Mature,91,4,Maize,Natural moisture retention is sufficient; monitor conditions.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
5.2,Loamy,0.9,38.28,Cassava,1,12,Mangoes,1348.76,Mature,73,2,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately.
5.4,Loamy,8.23,53.83,Cabbages,6,9,Bitter Kola,4305.98,Vegetative,12,9,Beans,Implement drip irrigation and monitor water levels.,Windy conditions; monitor for pests but spraying may be less effective.,Consider planting a different crop.
6.5,Clay,9.6,83.68,Sweet Potatoes,9,11,Spinach,1447.7,Vegetative,15,11,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
5.7,Clay,0.24,41.19,Cucumbers,8,10,Tea,2693.43,Mature,4,3,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
5.3,Loamy,1.71,93.58,Eggplant (Brinjal),8,10,Bitter Kola,3908.7,Vegetative,21,3,Beans,Implement drip irrigation and monitor water levels.,High risk of pests; consider organic options and monitor closely.,Plant immediately if conditions allow.
5.5,Clay,8.41,97.46,"Tropical Fruits (Papaya, Guava, etc.)",1,12,Zucchini,3645.5,Mature,6,1,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
6.3,Loamy,2.07,67.74,Bananas,1,12,"Tropical Fruits (Papaya, Guava, etc.)",1354.16,Vegetative,23,5,Beans,Implement drip irrigation and monitor water levels.,Optimal time to spray; consider preventive measures.,Consider planting a different crop.
6.2,Loamy,9.2,65.03,Avocados,5,9,Pumpkins,3607.4,Mature,52,1,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
6.3,Clay,0.97,43.26,Zucchini,9,11,Pumpkins,3494.41,Mature,65,6,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately if conditions allow.
